,image_id,melanoma,seborrheic_keratosis,RGB1,RGB2,RGB3,RGB4,RGB1_occ,RGB2_occ,RGB3_occ,RGB4_occ,RGB1html,RGB2html,RGB3html,RGB4html,help_int_for_colors,border_diff_percent,image_symmetry,area,perimeter
11,ISIC_0006815,0.0,0.0,"183,113,79","187,123,95","190,133,112","194,142,129",19,23,24,32,#b7714f,#bb7b5f,#be8570,#c28e81,healthy,1.075293056807935,1.1656746031746033,147851.0,1739.0
12,ISIC_0006914,0.0,0.0,"156,100,61","166,121,88","175,149,131","172,136,110",14,27,29,29,#9c643d,#a67958,#af9583,#ac886e,healthy,1.290924276169265,1.0658912028975414,696672.0,2905.0
13,ISIC_0007141,0.0,0.0,"170,126,98","158,102,68","147,84,49","178,148,129",15,19,31,33,#aa7e62,#9e6644,#935431,#b29481,healthy,1.22272288381075,1.0516112227431718,1003497.0,3312.0
14,ISIC_0007156,0.0,0.0,"158,74,42","210,137,97","226,170,138","184,100,62",18,19,30,32,#9e4a2a,#d28961,#e2aa8a,#b8643e,healthy,1.0794824399260627,1.032118758434548,384761.0,2019.0
15,ISIC_0007235,0.0,0.0,"174,112,64","142,68,39","183,136,93","162,88,49",19,20,28,31,#ae7040,#8e4427,#b7885d,#a25831,healthy,1.1569239500567536,1.0484522207267832,728319.0,2788.0
16,ISIC_0007241,0.0,0.0,"137,76,35","152,101,61","165,128,97","173,149,129",17,19,22,39,#894c23,#98653d,#a58061,#ad9581,healthy,1.2591847005535983,1.0622873053521709,346920.0,1970.0
17,ISIC_0007332,0.0,0.0,"143,66,33","206,158,136","176,102,64","191,129,95",10,27,29,31,#8f4221,#ce9e88,#b06640,#bf815f,healthy,1.1583514099783079,1.0354762416684584,530766.0,2387.0
18,ISIC_0007344,0.0,0.0,"117,50,26","165,120,94","153,97,65","136,73,41",18,23,23,33,#75321a,#a5785e,#996141,#884929,healthy,1.3942712721145745,1.1399336730567011,522771.0,2625.0
19,ISIC_0007528,0.0,0.0,"169,96,52","177,112,74","184,129,100","187,142,119",18,21,23,35,#a96034,#b1704a,#b88164,#bb8e77,healthy,1.0790292470441818,1.0638566912539515,165858.0,1297.0
20,ISIC_0007796,0.0,0.0,"165,124,102","143,80,44","156,103,71","171,145,135",20,20,28,30,#a57c66,#8f502c,#9c6747,#ab9187,healthy,1.2876288659793815,1.0759181661326105,280691.0,1763.0
21,ISIC_0008025,0.0,0.0,"160,98,51","174,126,92","178,141,115","168,112,70",20,21,25,33,#a06233,#ae7e5c,#b28d73,#a87046,healthy,1.1968271040602312,1.0582880045805898,629078.0,2636.0
22,ISIC_0008524,0.0,0.0,"180,115,64","191,139,96","195,150,115","187,130,82",10,28,29,31,#b47340,#bf8b60,#c39673,#bb8252,healthy,1.1697266421868624,1.2695171751141003,323767.0,2245.0
23,ISIC_0009995,0.0,0.0,"176,176,163","171,155,130","153,115,80","164,137,104",17,20,25,29,#b0b0a3,#ab9b82,#997350,#a48968,healthy,1.6281866281866282,1.0379943584134477,725199.0,3024.0
24,ISIC_0010459,0.0,0.0,"173,170,167","156,140,137","129,99,103","141,116,118",9,19,34,37,#adaaa7,#9c8c89,#816367,#8d7476,healthy,1.2733173898189272,1.142337242215932,534984.0,2438.0
25,ISIC_0012099,1.0,0.0,"172,104,84","188,144,133","138,63,46","86,34,30",18,20,21,39,#ac6854,#bc9085,#8a3f2e,#56221e,melanoma,1.0528846153846154,1.105697770437655,88455.0,1353.0
26,ISIC_0012109,0.0,0.0,"166,131,104","149,97,68","117,65,46","79,44,36",16,20,27,36,#a68368,#956144,#75412e,#4f2c24,healthy,1.3185763888888888,1.1012402653591,129415.0,1662.0
27,ISIC_0012126,0.0,0.0,"173,135,108","158,100,67","100,41,22","133,68,39",17,22,26,33,#ad876c,#9e6443,#642916,#854427,healthy,1.0070505287896592,1.062857142857143,75301.0,1262.0
28,ISIC_0012127,0.0,0.0,"83,28,23","117,49,39","149,96,76","137,75,57",15,24,28,31,#531c17,#753127,#95604c,#894b39,healthy,1.056399132321041,1.1383625312835182,106564.0,1103.0
29,ISIC_0012143,0.0,1.0,"95,50,38","116,72,63","126,88,82","133,101,98",6,19,35,38,#5f3226,#74483f,#7e5852,#856562,keratosis,1.4415455746367238,1.2018971040894528,1124326.0,5267.0
30,ISIC_0012151,1.0,0.0,"134,69,42","168,133,101","160,111,76","150,90,58",16,21,27,34,#86452a,#a88565,#a06f4c,#965a3a,melanoma,1.5358366647629926,1.1578947368421053,1558295.0,5920.0
31,ISIC_0012159,0.0,0.0,"166,115,98","170,139,130","167,126,112","168,131,121",13,20,29,36,#a67362,#aa8b82,#a77e70,#a88379,healthy,1.3647227533460804,1.1995620038324664,328058.0,2862.0
32,ISIC_0012160,0.0,0.0,"167,120,91","172,133,106","174,141,115","175,147,124",11,27,29,31,#a7785b,#ac856a,#ae8d73,#af937c,healthy,1.28287841191067,1.200333889816361,109831.0,1708.0
33,ISIC_0012191,0.0,0.0,"125,71,44","63,27,17","97,45,26","141,94,66",23,24,24,27,#7d472c,#3f1b11,#612d1a,#8d5e42,healthy,1.1480127912288716,1.0541974606784157,221207.0,1599.0
34,ISIC_0012201,0.0,0.0,"156,109,80","142,80,46","121,52,24","99,35,15",17,19,30,32,#9c6d50,#8e502e,#793418,#63230f,healthy,1.2233344839489126,1.094819253817901,361298.0,2860.0
35,ISIC_0012204,0.0,1.0,"128,43,19","151,82,51","164,103,76","169,112,88",2,5,34,57,#802b13,#975233,#a4674c,#a97058,keratosis,1.3278688524590163,1.1658622202720492,171424.0,1427.0
36,ISIC_0012206,0.0,0.0,"109,51,25","140,78,41","155,102,64","164,124,89",14,27,28,30,#6d3319,#8c4e29,#9b6640,#a47c59,healthy,1.3134396355353075,1.2034866771616817,630098.0,3828.0
37,ISIC_0012210,0.0,1.0,"180,129,95","186,151,125","184,138,108","185,145,117",8,25,25,40,#b4815f,#ba977d,#b88a6c,#b99175,keratosis,1.5689977173687486,1.137419648732095,791881.0,4846.0
38,ISIC_0012221,0.0,0.0,"148,98,87","136,72,58","96,33,31","119,49,40",22,24,25,28,#946257,#88483a,#60211f,#773128,healthy,1.1189189189189188,1.0730080730080729,195511.0,1929.0
39,ISIC_0012222,0.0,0.0,"190,146,111","160,92,59","178,120,82","132,65,44",22,25,25,26,#be926f,#a05c3b,#b27852,#84412c,healthy,1.210329807093964,1.1201347305389222,194086.0,1947.0
40,ISIC_0012254,0.0,1.0,"98,57,51","177,127,120","183,151,141","181,141,131",0,14,41,43,#623933,#b17f78,#b7978d,#b58d83,keratosis,1.5048821906177032,1.103813068799088,3797888.0,8369.0
41,ISIC_0012256,0.0,0.0,"186,116,99","189,128,117","188,121,106","188,125,112",10,23,30,34,#ba7463,#bd8075,#bc796a,#bc7d70,healthy,1.3789872853000222,1.182727932470112,1071587.0,3560.0
42,ISIC_0012288,1.0,0.0,"190,134,103","180,116,80","150,79,53","167,95,64",20,22,25,31,#be8667,#b47450,#964f35,#a75f40,melanoma,1.1143465909090908,1.1410645618295892,361677.0,2885.0
43,ISIC_0012306,0.0,0.0,"164,109,66","171,132,94","154,87,44","138,65,29",18,24,24,33,#a46d42,#ab845e,#9a572c,#8a411d,healthy,1.2311435523114356,1.1130841121495327,157552.0,1815.0
44,ISIC_0012313,0.0,0.0,"163,100,70","125,56,38","149,75,48","172,125,95",19,22,27,29,#a36446,#7d3826,#954b30,#ac7d5f,healthy,1.0834976988823142,1.0868708971553611,165307.0,1818.0
45,ISIC_0012316,0.0,0.0,"155,131,122","111,50,35","133,79,60","147,104,86",20,20,27,31,#9b837a,#6f3223,#854f3c,#936856,healthy,1.0980392156862746,1.0919067215363512,109056.0,1522.0
46,ISIC_0012335,0.0,0.0,"170,127,123","194,150,138","209,171,160","218,187,180",12,14,20,52,#aa7f7b,#c2968a,#d1aba0,#dabbb4,healthy,1.2803158488437676,1.1042854127084654,169693.0,1922.0
47,ISIC_0012380,0.0,1.0,"182,124,101","209,178,166","196,146,125","204,162,145",12,19,30,37,#b67c65,#d1b2a6,#c4927d,#cca291,keratosis,1.1897404202719406,1.054912597950573,550653.0,2388.0
48,ISIC_0012383,0.0,1.0,"174,114,82","189,131,97","198,150,119","194,140,109",5,24,31,38,#ae7252,#bd8361,#c69677,#c28c6d,keratosis,1.3627387851470272,1.056112224448898,1194775.0,4988.0
49,ISIC_0012400,0.0,0.0,"125,74,63","166,116,95","174,139,125","154,94,73",9,27,31,31,#7d4a3f,#a6745f,#ae8b7d,#9a5e49,healthy,1.3055978095527836,1.1135796739950112,1669033.0,4627.0
50,ISIC_0012417,0.0,1.0,"118,79,84","181,155,166","172,126,124","179,140,138",0,12,39,46,#764f54,#b59ba6,#ac7e7c,#b38c8a,keratosis,1.5376344086021505,1.1381999003109349,5936063.0,12146.0
51,ISIC_0012434,1.0,0.0,"161,74,57","185,119,99","176,96,75","193,140,121",21,25,25,27,#a14a39,#b97763,#b0604b,#c18c79,melanoma,1.1111111111111112,1.0675927494494324,225711.0,2110.0
52,ISIC_0012492,0.0,1.0,"131,80,65","157,107,94","151,89,76","155,98,84",7,24,26,41,#835041,#9d6b5e,#97594c,#9b6254,keratosis,1.0762383900928794,1.092910255466392,466837.0,2269.0
53,ISIC_0012513,0.0,1.0,"203,125,128","208,148,154","216,173,183","212,163,170",7,19,33,39,#cb7d80,#d0949a,#d8adb7,#d4a3aa,keratosis,1.2941755768148564,1.1048906177939082,1756168.0,6504.0
54,ISIC_0012538,0.0,0.0,"131,101,90","112,76,64","62,41,41","86,55,50",16,20,30,32,#83655a,#704c40,#3e2929,#563732,healthy,1.3705245628642797,1.1681661815295052,273727.0,2556.0
55,ISIC_0012547,0.0,0.0,"96,54,50","159,119,120","151,90,91","155,103,105",6,19,36,37,#603632,#9f7778,#975a5b,#9b6769,healthy,1.2102009273570324,1.1053695665100791,572681.0,3467.0
56,ISIC_0012660,0.0,0.0,"162,88,46","199,160,138","179,113,74","190,137,105",18,25,27,28,#a2582e,#c7a08a,#b3714a,#be8969,healthy,1.2177068214804063,1.145204500803715,211341.0,2271.0
57,ISIC_0012684,0.0,0.0,"155,123,97","142,90,58","93,39,24","122,61,35",14,21,31,31,#9b7b61,#8e5a3a,#5d2718,#7a3d23,healthy,1.227744573765335,1.0614618692011768,859388.0,4322.0
58,ISIC_0012720,0.0,1.0,"146,73,36","158,91,56","174,115,91","167,104,76",14,20,31,33,#924924,#9e5b38,#ae735b,#a7684c,keratosis,1.2999106344950848,1.1736538103223402,980396.0,4861.0
59,ISIC_0012746,0.0,0.0,"126,68,37","102,44,21","143,93,59","154,115,87",19,21,28,30,#7e4425,#662c15,#8f5d3b,#9a7357,healthy,1.4050179211469531,1.223482077542063,125176.0,1717.0
60,ISIC_0012876,0.0,0.0,"148,113,105","186,131,107","174,117,98","195,144,119",15,27,28,29,#947169,#ba836b,#ae7562,#c39077,healthy,1.0825617283950617,1.0722093408413382,111545.0,1123.0
61,ISIC_0012927,0.0,1.0,"91,44,34","154,107,92","169,136,123","132,79,66",11,27,28,32,#5b2c22,#9a6b5c,#a9887b,#844f42,keratosis,1.4928181716958022,1.211872012009072,2175381.0,7712.0
62,ISIC_0012956,0.0,0.0,"169,110,95","113,71,64","141,90,79","180,128,114",21,22,23,32,#a96e5f,#714740,#8d5a4f,#b48072,healthy,0.9949874686716792,1.0910753474762254,196131.0,1959.0
63,ISIC_0012959,0.0,1.0,"149,56,56","187,106,104","196,139,136","193,125,121",1,15,28,54,#953838,#bb6a68,#c48b88,#c17d79,keratosis,1.1641730691467853,1.0471542025148908,408356.0,2110.0
64,ISIC_0012965,0.0,0.0,"180,136,105","156,91,62","127,58,39","198,171,160",18,24,28,29,#b48869,#9c5b3e,#7f3a27,#c6aba0,healthy,0.9970958373668926,1.1182501708817498,51363.0,1029.0
65,ISIC_0013010,0.0,0.0,"138,89,71","119,65,47","150,113,101","99,48,33",18,24,28,28,#8a5947,#77412f,#967165,#633021,healthy,1.0709897610921502,1.0830661614689594,121204.0,1151.0
66,ISIC_0013082,0.0,0.0,"207,171,151","189,126,101","200,150,123","173,105,86",19,21,22,35,#cfab97,#bd7e65,#c8967b,#ad6956,healthy,1.1997816593886463,1.0469237312163309,254836.0,2256.0
67,ISIC_0013104,0.0,0.0,"191,127,92","138,65,44","181,104,67","160,81,54",15,24,26,32,#bf7f5c,#8a412c,#b56843,#a05136,healthy,1.3642443156486848,1.1156487764754266,867947.0,4828.0
68,ISIC_0013127,0.0,1.0,"118,39,70","164,77,80","179,109,111","175,94,97",6,16,37,39,#762746,#a44d50,#b36d6f,#af5e61,keratosis,1.4898224852071007,1.1685408968341156,1884716.0,7286.0
69,ISIC_0013128,0.0,0.0,"113,48,32","152,94,69","161,112,91","136,71,47",12,28,29,29,#713020,#985e45,#a1705b,#88472f,healthy,1.3656736813336978,1.090054343138101,470897.0,3337.0
70,ISIC_0013132,0.0,0.0,"72,29,16","104,54,35","128,82,57","139,102,76",11,22,29,36,#481d10,#683623,#805239,#8b664c,healthy,1.2698907956318253,1.1472105016408811,173736.0,1940.0
71,ISIC_0013188,0.0,0.0,"52,20,16","123,69,54","141,102,95","96,39,28",20,23,27,29,#341410,#7b4536,#8d665f,#60271c,healthy,1.0143589743589745,1.008675971331573,92544.0,1356.0
72,ISIC_0013215,0.0,1.0,"116,67,40","144,113,96","128,84,59","136,97,76",13,25,29,30,#744328,#907160,#80543b,#88614c,keratosis,1.3509483322432962,1.1285893404041027,1675684.0,6407.0
73,ISIC_0013232,1.0,0.0,"89,37,23","138,67,38","164,99,65","175,126,94",15,15,30,39,#592517,#8a4326,#a46341,#af7e5e,melanoma,1.3595231644540775,1.1779510538099285,467956.0,3501.0
74,ISIC_0013421,0.0,1.0,"86,64,57","161,143,131","117,94,83","143,118,102",15,18,31,35,#564039,#a18f83,#755e53,#8f7666,keratosis,1.3110884452863178,1.1166208267250206,1837528.0,7103.0
75,ISIC_0013491,1.0,0.0,"179,142,117","173,121,92","148,76,50","165,100,71",24,24,24,25,#b38e75,#ad795c,#944c32,#a56447,melanoma,1.0913312693498451,1.072782546494993,398097.0,2921.0
76,ISIC_0013501,1.0,0.0,"144,84,63","167,108,79","195,148,122","181,126,95",8,29,30,31,#90543f,#a76c4f,#c3947a,#b57e5f,melanoma,1.1994535519125684,1.0719482984588964,809661.0,3059.0
77,ISIC_0013518,1.0,0.0,"150,100,88","158,114,106","162,133,133","160,124,121",6,21,35,37,#966458,#9e726a,#a28585,#a07c79,melanoma,1.4766216311805902,1.14831103279374,4680699.0,12142.0
78,ISIC_0013527,0.0,0.0,"127,72,39","146,96,62","159,120,92","165,137,115",16,20,25,37,#7f4827,#92603e,#9f785c,#a58973,healthy,0.9663056558363418,1.1653543307086611,32944.0,642.0
79,ISIC_0013549,1.0,0.0,"150,101,73","106,52,38","131,72,50","162,126,108",20,22,26,31,#966549,#6a3426,#834832,#a27e6c,melanoma,1.3692014403728023,1.0931926540702808,907406.0,3102.0
80,ISIC_0013561,0.0,0.0,"168,133,116","147,78,56","162,111,91","158,94,75",10,17,33,38,#a88574,#934e38,#a26f5b,#9e5e4b,healthy,1.3260606060606062,1.0710878596707183,435348.0,2274.0
81,ISIC_0013562,0.0,0.0,"133,86,57","178,137,106","166,115,79","172,125,91",3,25,27,44,#855639,#b2896a,#a6734f,#ac7d5b,healthy,1.1741920696768278,1.0508877535535437,681634.0,3772.0
82,ISIC_0013632,0.0,1.0,"125,79,89","191,146,150","201,166,169","198,158,159",0,22,30,47,#7d4f59,#bf9296,#c9a6a9,#c69e9f,keratosis,1.4597574421168689,1.086139034404644,1363349.0,3849.0
83,ISIC_0013637,0.0,1.0,"163,93,85","168,122,115","164,106,96","166,113,105",8,27,30,33,#a35d55,#a87a73,#a46a60,#a67169,keratosis,1.2262843488649942,1.0660538691748611,791346.0,4099.0
84,ISIC_0013644,1.0,0.0,"131,87,67","148,105,84","158,123,105","164,136,123",13,21,31,34,#835743,#946954,#9e7b69,#a4887b,melanoma,1.3686552072800808,1.2118509184959214,1102493.0,3545.0
85,ISIC_0013651,1.0,0.0,"102,72,65","145,90,72","171,114,89","180,129,108",13,17,32,35,#664841,#915a48,#ab7259,#b4816c,melanoma,1.4230140902593424,1.0781607697891271,4205941.0,6906.0
86,ISIC_0013663,1.0,0.0,"165,82,50","186,122,81","181,108,67","175,95,58",16,19,31,32,#a55232,#ba7a51,#b56c43,#af5f3a,melanoma,1.2730263157894737,1.4139492581995945,2268716.0,8854.0
87,ISIC_0013702,1.0,0.0,"136,70,37","145,85,51","150,101,70","151,112,87",14,21,24,39,#884625,#915533,#966546,#977057,melanoma,1.4019123997532388,1.120784045361228,1781222.0,4594.0
88,ISIC_0013736,1.0,0.0,"97,45,34","129,77,60","122,65,47","112,54,39",13,17,34,34,#612d22,#814d3c,#7a412f,#703627,melanoma,1.3545272969374167,1.1227237334538969,1376523.0,5495.0
89,ISIC_0013793,0.0,0.0,"159,66,53","181,98,85","193,114,118","201,134,140",12,12,36,38,#9f4235,#b56255,#c17276,#c9868c,healthy,1.2875572201414898,1.1885450461692042,301302.0,2733.0
90,ISIC_0013828,1.0,0.0,"85,52,57","99,52,36","113,78,70","108,67,55",8,16,36,39,#553439,#633424,#714e46,#6c4337,melanoma,1.3311213204015655,1.1500719075101324,1907682.0,5824.0
91,ISIC_0013863,0.0,1.0,"171,126,109","156,105,85","178,141,131","183,154,147",15,15,30,38,#ab7e6d,#9c6955,#b28d83,#b79a93,keratosis,1.0423131170662905,1.0934084133819146,108573.0,1131.0
92,ISIC_0013898,0.0,0.0,"144,101,95","126,74,63","101,53,45","83,43,37",11,15,30,42,#90655f,#7e4a3f,#65352d,#532b25,healthy,1.4126153846153846,1.1036856786752922,586840.0,3576.0
93,ISIC_0013945,0.0,1.0,"117,61,82","170,113,86","175,124,99","173,118,93",0,19,32,46,#753d52,#aa7156,#af7c63,#ad765d,keratosis,1.116590726346824,1.3257072190446746,262402.0,3061.0
94,ISIC_0014037,1.0,0.0,"148,91,88","183,147,148","165,113,109","174,130,128",10,24,31,34,#945b58,#b79394,#a5716d,#ae8280,melanoma,1.3319762323943662,1.1086981842653587,3710908.0,7149.0
95,ISIC_0014038,0.0,1.0,"142,94,86","151,120,113","146,103,95","148,113,104",18,19,28,33,#8e5e56,#977871,#92675f,#947168,keratosis,1.224969987995198,1.1125627370598827,1072524.0,5354.0
96,ISIC_0014055,0.0,1.0,"115,66,64","145,98,90","157,117,113","163,130,130",5,11,32,50,#734240,#91625a,#9d7571,#a38282,keratosis,1.4514996203492787,1.0935927216415022,4043937.0,9615.0
97,ISIC_0014139,0.0,1.0,"98,67,58","150,120,108","119,86,75","137,103,90",12,25,29,32,#62433a,#96786c,#77564b,#89675a,keratosis,1.2496563101457243,1.0777511420688408,807751.0,4107.0
98,ISIC_0014162,0.0,0.0,"208,162,163","214,184,185","211,172,173","213,179,179",8,23,31,35,#d0a2a3,#d6b8b9,#d3acad,#d5b3b3,healthy,1.3325757575757575,1.2506558237145855,307338.0,2644.0
99,ISIC_0014178,0.0,0.0,"95,64,63","136,78,69","160,100,85","170,121,113",22,23,23,30,#5f403f,#884e45,#a06455,#aa7971,healthy,1.4465487166708195,1.2564061753939202,574904.0,3728.0
100,ISIC_0014211,0.0,0.0,"124,82,68","131,104,98","128,90,78","130,97,87",14,21,30,33,#7c5244,#836862,#805a4e,#826157,healthy,1.3429996305873662,1.1441869050444322,1344978.0,5469.0
101,ISIC_0014212,0.0,1.0,"122,64,53","158,107,95","169,142,138","165,123,115",3,21,24,49,#7a4035,#9e6b5f,#a98e8a,#a57b73,keratosis,0.7173604282748826,1.13528798402347,6376677.0,8006.0
102,ISIC_0014217,1.0,0.0,"151,85,57","176,136,115","166,106,76","172,123,95",11,27,27,34,#975539,#b08873,#a66a4c,#ac7b5f,melanoma,1.4189794795188302,1.180754627676541,4336071.0,11204.0
103,ISIC_0014302,1.0,0.0,"146,105,82","108,55,36","138,88,62","126,71,48",18,20,30,30,#926952,#6c3724,#8a583e,#7e4730,melanoma,1.222840409956076,1.1611989778299607,579716.0,3900.0
104,ISIC_0014310,0.0,1.0,"192,147,123","181,131,102","166,115,91","154,103,87",14,16,32,36,#c0937b,#b58366,#a6735b,#9a6757,keratosis,1.1109697123950115,1.0537052690898845,589944.0,3441.0
105,ISIC_0014382,0.0,1.0,"130,80,60","176,139,126","151,104,83","165,122,104",13,20,31,33,#82503c,#b08b7e,#976853,#a57a68,keratosis,1.3722589444969049,1.1728403565082033,2726452.0,8243.0
106,ISIC_0014428,1.0,0.0,"163,116,93","175,141,126","115,65,56","142,85,68",20,21,27,30,#a3745d,#af8d7e,#734138,#8e5544,melanoma,1.105949470252649,1.0539025167250715,525860.0,3284.0
107,ISIC_0014558,1.0,0.0,"109,66,56","161,125,109","143,92,72","155,109,89",10,23,25,40,#6d4238,#a17d6d,#8f5c48,#9b6d59,melanoma,1.51239406779661,1.193635748138118,2094081.0,8184.0
108,ISIC_0014568,0.0,1.0,"179,131,87","215,170,147","194,148,107","206,160,128",14,24,25,35,#b38357,#d7aa93,#c2946b,#cea080,keratosis,1.225831399845321,1.0722917721976988,478914.0,2300.0
109,ISIC_0014572,0.0,1.0,"200,135,102","179,114,75","131,73,52","152,92,62",11,22,30,35,#c88766,#b3724b,#834934,#985c3e,keratosis,1.146454862456412,1.1125210410462256,274107.0,2424.0
110,ISIC_0014597,0.0,1.0,"148,111,78","186,150,115","173,135,99","161,123,89",13,13,31,41,#946f4e,#ba9673,#ad8763,#a17b59,keratosis,1.140642303433001,1.0893300248138955,60042.0,1129.0
111,ISIC_0014601,0.0,1.0,"231,198,172","214,172,137","186,135,92","202,154,112",11,26,28,34,#e7c6ac,#d6ac89,#ba875c,#ca9a70,keratosis,1.2494857478695272,1.0892926356589148,728470.0,2878.0
112,ISIC_0014608,0.0,1.0,"163,117,71","219,181,131","184,139,89","202,159,107",12,21,28,37,#a37547,#dbb583,#b88b59,#ca9f6b,keratosis,1.3871491533286942,1.1271407297096054,802550.0,4422.0
113,ISIC_0014610,0.0,1.0,"84,61,57","124,88,68","157,122,90","180,145,118",13,15,31,39,#543d39,#7c5844,#9d7a5a,#b49176,keratosis,1.3382229673093042,1.2307853842923142,183480.0,2141.0
114,ISIC_0014611,0.0,1.0,"163,122,88","116,83,64","215,168,131","233,190,159",10,13,30,46,#a37a58,#745340,#d7a883,#e9be9f,keratosis,1.2642060541688795,1.0714699567158583,1041865.0,3431.0
115,ISIC_0014616,0.0,1.0,"124,82,55","190,149,117","174,130,96","157,114,79",4,20,34,40,#7c5237,#be9575,#ae8260,#9d724f,keratosis,1.208656330749354,1.0777120315581854,175929.0,1876.0
116,ISIC_0014618,0.0,1.0,"149,104,73","195,154,127","168,122,90","183,138,108",18,22,25,33,#956849,#c39a7f,#a87a5a,#b78a6c,keratosis,1.3401139137510172,1.2107647698441464,205415.0,2432.0
117,ISIC_0014620,0.0,1.0,"178,129,89","197,151,115","215,177,156","208,165,135",6,15,29,48,#b28159,#c59773,#d7b19c,#d0a587,keratosis,1.1259150805270863,1.072231917781656,352503.0,1957.0
118,ISIC_0014623,0.0,1.0,"152,114,81","222,181,163","183,141,112","203,161,134",13,22,29,34,#987251,#deb5a3,#b78d70,#cba186,keratosis,1.5553914327917282,1.0998747787037435,1937167.0,7048.0
119,ISIC_0014624,0.0,1.0,"188,139,117","159,111,84","104,62,51","129,82,66",19,22,25,33,#bc8b75,#9f6f54,#683e33,#815242,keratosis,1.2355179704016914,1.2834558004898686,496817.0,3520.0
120,ISIC_0014633,0.0,1.0,"155,105,72","194,146,124","181,132,106","169,119,88",13,28,28,29,#9b6948,#c2927c,#b5846a,#a97758,keratosis,1.1060070671378093,1.1320272572402044,97563.0,1400.0
121,ISIC_0014635,0.0,1.0,"138,111,104","204,180,179","198,163,151","202,172,164",0,24,27,47,#8a6f68,#ccb4b3,#c6a397,#caaca4,keratosis,1.3235747303543914,1.19608293168082,615555.0,2786.0
122,ISIC_0014637,0.0,1.0,"222,178,177","150,110,106","178,132,123","203,155,147",20,23,26,29,#deb2b1,#966e6a,#b2847b,#cb9b93,keratosis,1.1134751773049645,1.059137826350941,290534.0,1764.0
123,ISIC_0014688,1.0,0.0,"205,147,115","0,0,0","145,95,57","171,119,83",12,17,27,33,#cd9373,#000000,#915f39,#ab7753,melanoma,1.4655659615695142,1.1168092690261568,24353712.0,25900.0
124,ISIC_0014712,0.0,1.0,"216,173,169","41,35,41","3,4,5","115,92,87",15,16,23,31,#d8ada9,#292329,#030405,#735c57,keratosis,1.141916242077793,1.038546186473141,24292956.0,18528.0
125,ISIC_0014809,1.0,0.0,"160,97,82","59,19,13","130,65,49","98,37,26",17,22,22,36,#a06152,#3b130d,#824131,#62251a,melanoma,1.445765113350126,1.1945771494466326,4795895.0,10591.0
126,ISIC_0014829,0.0,0.0,"182,108,83","134,57,29","112,31,9","157,83,54",20,24,25,28,#b66c53,#86391d,#701f09,#9d5336,healthy,1.2685732048492384,1.114285289172581,2637887.0,7781.0
